rank,stadium,capacity,region,country,city,images,home_team,latitude,longitude
47,Estadio La Cartuja de Sevilla,70000,Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Betis_Girona_23_nov_2025_003.jpg/250px-Betis_Girona_23_nov_2025_003.jpg,,37.3886303,-5.9953403
48,Seoul Olympic Stadium,69950,East Asia,South Korea,Seoul,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/%E8%9A%95%E5%AE%A4_03.jpg/250px-%E8%9A%95%E5%AE%A4_03.jpg,,37.5666791,126.9782914
49,Bakı Olimpiya stadionu,69870,West Asia,Azerbaijan,Baku,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Baku_Olympic_Stadium_panorama_1.JPG/250px-Baku_Olympic_Stadium_panorama_1.JPG,Azerbaijan national football team,40.3755885,49.8328009
50,Olympic Stadium,69618,Europe,Greece,"Marousi, Attica",https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Olympic_Stadium_at_Athens_before_a_home_game_of_Panathinaikos_on_February_2%2C_2013.jpg/250px-Olympic_Stadium_at_Athens_before_a_home_game_of_Panathinaikos_on_February_2%2C_2013.jpg,Greece national football team,38.0546653,23.8081533
51,Prince Moulay Abdellah Stadium,68700,Africa,Morocco,Rabat,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Moulay_Abdellah_Stadium_-_interior.jpg/250px-Moulay_Abdellah_Stadium_-_interior.jpg,"Morocco national team, AS FAR",34.0218454,-6.8408929
52,Olympia­stadion München,69250,Europe,Germany,Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/M%C3%BCnchener_Olympiastadion.jpg/250px-M%C3%BCnchener_Olympiastadion.jpg,,48.1371079,11.5753822
53,Lumen Field,69000,North America,United States,"Seattle, Washington",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/2025_FIFA_Club_World_Cup_-_Seattle_Sounders_FC_vs._Botafogo_-_01.jpg/250px-2025_FIFA_Club_World_Cup_-_Seattle_Sounders_FC_vs._Botafogo_-_01.jpg,"Seattle Sounders FC, Seattle Seahawks",47.6038321,-122.330062
54,Estadio Olímpico Universitario,68954,North America,Mexico,Mexico City,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Estadio_Pumas.jpg/250px-Estadio_Pumas.jpg,UNAM Pumas,19.3207722,-99.1514678
55,Gillette Stadium,68756,North America,United States,"Foxborough, Massachusetts",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Stadiumguillete_%28cropped%29.jpg/250px-Stadiumguillete_%28cropped%29.jpg,"New England Patriots, New England Revolution",42.0653768,-71.2478308
56,King Abdullah Sports City Stadium,68560,West Asia,Saudi Arabia,Jeddah,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Jawhara_Stadium.jpg/250px-Jawhara_Stadium.jpg,"Saudi Arabia national football team, Al-Ahli Saudi FC, Al-Ittihad Saudi Club",21.5504432,39.1742363
57,Gazprom Arena,68134,Europe,Russia,Saint Petersburg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Fina-l2017.jpg/250px-Fina-l2017.jpg,FC Zenit Saint Petersburg,59.9606739,30.1586551
58,Estádio do Sport Lisboa e Benfica,68100,Europe,Portugal,Lisbon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/LuzLissabon.jpg/250px-LuzLissabon.jpg,Benfica,38.7077507,-9.1365919
59,National Stadium,68000,East Asia,Japan,Tokyo,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Japan_National_Stadium_2024_1.jpg/250px-Japan_National_Stadium_2024_1.jpg,,35.6768601,139.7638947
60,Orange Vélodrome,67394,Europe,France,Marseille,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Stade_V%C3%A9lodrome_1.jpg/250px-Stade_V%C3%A9lodrome_1.jpg,Olympique de Marseille,43.2963986,5.3777888
61,Puskás Aréna,67215,Europe,Hungary,Budapest,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Pusk%C3%A1s_Ar%C3%A9na_01.jpg/250px-Pusk%C3%A1s_Ar%C3%A9na_01.jpg,Hungary national football team,47.4978789,19.0402383
62,Scottish Gas Murrayfield Stadium,67144,Europe,Scotland,Edinburgh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Murrayfield_Stadium_-_geograph.org.uk_-_1246737.jpg/250px-Murrayfield_Stadium_-_geograph.org.uk_-_1246737.jpg,Scotland national rugby union team,55.9533456,-3.1883749
63,Stade Mohammed V,67000,Africa,Morocco,Casablanca,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Stade_Mohamed_V%2C_Casablanca.jpg/250px-Stade_Mohamed_V%2C_Casablanca.jpg,"Wydad, Raja, Morocco national team",33.5945144,-7.6200284
64,MorumBIS,66975,South America,Brazil,"São Paulo, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Estadio_Morumbi_2014.jpg/250px-Estadio_Morumbi_2014.jpg,São Paulo FC,-23.5506507,-46.6333824
65,Yadegar-e-Emam Stadium,66833,West Asia,Iran,Tabriz,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Yadegar_Emam_stadium_at_night_-_panoramio.jpg/250px-Yadegar_Emam_stadium_at_night_-_panoramio.jpg,Tractor S.C.,38.0738612,46.2978789
66,Seoul World Cup Stadium,66704,East Asia,South Korea,Seoul,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/AFC_Champions_League_Final_1st_leg.jpg/250px-AFC_Champions_League_Final_1st_leg.jpg,FC Seoul,37.5666791,126.9782914
67,Daegu Stadium,66422,East Asia,South Korea,Daegu,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Daegu.Stadium.original.2167.jpg/250px-Daegu.Stadium.original.2167.jpg,Daegu FC,35.8713,128.6018
68,Workers' Stadium,66161,East Asia,China,Beijing,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Workers%27_Stadium_from_the_Western_Stands.jpg/250px-Workers%27_Stadium_from_the_Western_Stands.jpg,"Beijing Guoan, China national football team",39.9057136,116.3912972
69,London Stadium,66000,Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/London_Stadium_panorama_picture.jpg/250px-London_Stadium_panorama_picture.jpg,West Ham United,51.5074456,-0.1277653
70,Olympic Stadium,65255,North America,Canada,"Montreal, Quebec",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Montreal_Impact_CONCACAF_FINAL.jpg/250px-Montreal_Impact_CONCACAF_FINAL.jpg,CF Montréal,45.5031824,-73.5698065
71,Basra International Stadium,65227,West Asia,Iraq,Basra,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Basra_International_Stadium_Opening_2.JPG/250px-Basra_International_Stadium_Opening_2.JPG,Iraq national football team,30.4952371,47.8090981
72,Stade du 5 Juillet,64200,Africa,Algeria,Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Stade_5_Juillet_1962.jpg/250px-Stade_5_Juillet_1962.jpg,"Algeria national football team, MC Alger, USM Alger, CR Belouizdad, Paradou AC",36.7729333,3.0588445
73,Castelão,63903,South America,Brazil,"Fortaleza, Ceará",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Castel%C3%A3o_Arena_%285%29.jpg/250px-Castel%C3%A3o_Arena_%285%29.jpg,"Ceará SC, Fortaleza EC",-3.7932167,-38.5280359
